month_year,maxTemp,minTemp,meanTemp,vapPress,cldCover,precipitation
03/1933,10.1,2.8,6.4,8,73.1,79.1
04/1933,11.7,4.4,8,8.8,74.1,57
05/1933,14.3,6.7,10.5,10.4,75.2,59.3
06/1933,18,9.7,13.8,13.1,72.3,60.3
07/1933,20,12.1,16,15,74.8,82.4
08/1933,19.9,11.5,15.7,14.7,70.2,69.4
09/1933,17.6,9.8,13.7,13.4,72.7,48.5
10/1933,12.6,6.7,9.6,10.7,80.9,132.6
11/1933,8,3,5.5,8.5,85.3,67.3
12/1933,5.1,0.6,2.8,7.6,89.9,48.1
01/1934,7.2,2.2,4.7,7.8,85.9,117.6
02/1934,7.2,1.9,4.5,7.8,81.4,24.1
03/1934,7.7,1.1,4.4,7.2,77.3,84.3
04/1934,10.2,3.2,6.6,8.2,75.8,95.2
05/1934,14,5.8,9.9,9.7,71,69.4
06/1934,17.5,9.3,13.4,12.4,72.7,56
07/1934,20.5,11.8,16.1,15,70.9,71.7
08/1934,17.8,10.4,14.1,14.3,75.5,110.2
09/1934,17,9.5,13.2,13.1,74.6,111.1
10/1934,12.3,6.6,9.4,10.4,82.3,144
11/1934,8.4,3.3,5.8,8.4,85.2,66.3
12/1934,9.1,5.3,7.2,9.5,93,192
01/1935,6.7,2.3,4.5,7.8,88.5,72.5
02/1935,7.3,1.9,4.6,7.3,81.5,125.2
03/1935,9.2,2.7,5.9,8,77.7,51.6
04/1935,10.2,3.5,6.8,8.4,78.9,104.2
05/1935,13.3,5.2,9.2,9.5,71,34.1
06/1935,16.6,9.3,12.9,12.3,78.2,99.7
07/1935,19.2,10.8,15,13.9,72.8,48.6
08/1935,19.1,10.9,15,14.4,71.1,81.5
09/1935,15.8,9,12.4,12.7,77.9,165
10/1935,11.7,5.7,8.7,10,80.3,188.9
11/1935,8.6,3.4,6,8.8,83.9,160.7
12/1935,5.2,0.5,2.8,7,89.3,109.5
01/1936,5.6,0.8,3.2,6.9,86.9,139.8
02/1936,5.5,0.1,2.8,6.6,81.5,80.1
03/1936,8.8,3,5.9,7.9,81.2,72.3
04/1936,9.2,2.2,5.7,7.8,77,48.7
05/1936,14.2,6.2,10.2,10.3,71.9,44.5
06/1936,17.3,9,13.1,12.3,72.5,81.1
07/1936,17.5,11,14.2,14.4,81.9,143.3
08/1936,18.7,11.2,14.9,14.6,75.2,58.4
09/1936,16.4,10,13.2,13.3,79.5,108.3
